"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2024.MMP0001,2024.MMP0001,"Central America","Mon, 01/01/2024 - 12:00",2024,January,1,0,2,,,1,"South America","Vehicle accident / death linked to hazardous transport","Venezuela (Bolivarian Republic of)","Train tracks by Arroyo San Miguel, close to Buena Vista, El Carmen municipality, Nuevo León, Mexico","Sin Embargo, Lopez Doriga","25.862599, -100.350023",,"https://archive.ph/RszVj, https://archive.ph/cWGc8","Central America",3
2024.MMP0002,2024.MMP0002,"Central America","Tue, 01/02/2024 - 12:00",2024,January,1,0,5,1,,,"Central America","Vehicle accident / death linked to hazardous transport",Honduras,"San Juanero bridge in La Tembladora, around 55km south of Piedras Negras, Coahuila, Mexico","El Heraldo Honduras, El Diario de Coahuila","28.310041, -100.903046","US-Mexico border crossing","https://archive.ph/ieAAb, https://archive.ph/hbVzu","Central America",3
2024.MMP0003,2024.MMP0003,Mediterranean,"Wed, 01/03/2024 - 12:00",2024,January,1,0,,,1,,"Northern Africa (P)",Drowning,Unknown,"500m off the coast of El Sarchal beach, Ceuta, Spain","EFE, Infobae, EuropaPress, El Faro de Ceuta","35.886559, -5.300247","Western Mediterranean","https://www.infobae.com/espana/agencias/2024/01/03/hallan-el-cadaver-de-un-inmigrante-flotando-en-el-agua-cerca-de-la-costa-de-ceuta/, https://www.europapress.es/ceuta-y-melilla/noticia-guardia-civil-recupera-cadaver-muy-avanzado-estado-descomposicion-litoral-ceuta-20240103170941.html, https://elfarodeceuta.es/neopreno-detalle-especial-joven-hallado-muerto-ceuta-geas-guardia-civil/",Uncategorized,3
2024.MMP0004,2024.MMP0004,Mediterranean,"Fri, 01/05/2024 - 12:00",2024,January,1,0,,,,,"Northern Africa (P)",Drowning,Unknown,"Near Antigua Cárcel De Mujeres, Fortificación Del Siglo XVII, El Sarchal beach, Ceuta, Spain","Ceuta Actualidad, EFE, infobae","35.888026, -5.301133","Western Mediterranean","https://archive.ph/m3iNi, https://archive.ph/fL87k",Uncategorized,3
2024.MMP0006,2024.MMP0006,"Northern Africa","Sun, 01/07/2024 - 12:00",2024,January,,1,1,,1,,"Northern Africa",Drowning,Unknown,"13 nautical miles south Fuerteventura, Las Palmas, Spain","Infobae, Canaria Weekly","27.730817, -14.364792","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/CVjiF, https://archive.ph/AXLZc",Uncategorized,1
2024.MMP0007,2024.MMP0007,Mediterranean,"Wed, 01/03/2024 - 12:00",2024,January,2,9,24,1,1,,"Sub-Saharan Africa (P)",Drowning,Unknown,"10 km North of Mitilini, Lesbos, Greece","Hellenic Coast Guard, InfoMigrants, IOM Greece, Efsyn","39.214156, 26.564986","Eastern Mediterranean","https://archive.ph/lsgsN, https://archive.ph/fEVbR, https://archive.ph/M15x3",Uncategorized,5
2024.MMP0008,2024.MMP0008,Mediterranean,"Sat, 01/06/2024 - 12:00",2024,January,,3,18,,,,"Western / Southern Asia",Drowning,Unknown,"In Turkish territorial waters, northeast of the coast of Rhodes, Greece",Torodami,"36.536554, 28.154434","Eastern Mediterranean",https://archive.ph/4j7RR,Uncategorized,1
2024.MMP0009,2024.MMP0009,Mediterranean,"Mon, 01/08/2024 - 12:00",2024,January,1,0,,,,,"Sub-Saharan Africa (P)",Drowning,Unknown,"Off the coast of the Sidi Ali area of Tocra, Libya","IOM Libya, UNHCR, Address Libya, Alamssar","32.55058, 20.557715","Central Mediterranean","https://archive.ph/5yr4w, https://archive.ph/xg6vg",Uncategorized,4
2024.MMP0010,2024.MMP0010,"Central America","Sun, 01/07/2024 - 12:00",2024,January,1,0,,,1,,"Central America",Drowning,Mexico,"Near border wall off the beach of Playas de Tijuana, Baja California, Mexico","Telemundo 20","32.534262, -117.124671","US-Mexico border crossing","https://archive.ph/1Nbg0, https://www.youtube.com/watch?v=E6OZ_FIS41k","Central America",1
2024.MMP0011,2024.MMP0011,"Central America","Fri, 01/12/2024 - 12:00",2024,January,3,0,2,1,,2,"Central America",Drowning,Mexico,"Rio Bravo near Piedras Negras, Coahuila, Mexico, attempting to area near Shelby Park, Eagle Pass, Texas, USA","Mexican Consulate in Eagle Pass, Texas, Henry Cuellar US Congressman","28.707412, -100.512153","US-Mexico border crossing","https://web.archive.org/web/20240115124013/https://www.gob.mx/sre/prensa/el-consulado-de-mexico-en-eagle-pass-da-seguimiento-ante-el-fallecimiento-de-tres-mexicanos-ahogados-en-el-rio-bravo, https://web.archive.org/web/20240114151958/https://www.aljazeera.com/news/2024/1/14/three-migrants-drown-at-us-border-as-texas-blocked-their-rescue","Central America",5
2024.MMP0012,2024.MMP0012,Europe,"Sun, 01/14/2024 - 12:00",2024,January,5,0,34,,5,2,"Western Asia",Drowning,"Syrian Arab Republic","Off the coast of Wimereux, France while shortly after boarding boat - English Channel crossing","Préfet Maritime de la Manche et de la Mer du Nord, 20 minutes France,  BBC, Reuters, AP, Calais Border Monitoring, Calais Migrant Solidarity","50.783339, 1.557977","Mainland Europe to the UK","https://perma.cc/8USF-55CZ, https://web.archive.org/web/20240116095151/https://www.20minutes.fr/societe/4070767-20240116-migrants-calais-syrien-14-ans-parmi-morts-lors-naufrage, https://web.archive.org/web/20240114135418/https://www.bbc.com/news/uk-67973718, https://web.archive.org/web/20240115022356/https://abcnews.go.com/International/wireStory/authorities-4-people-found-dead-suspected-drowning-migrants-106361183, https://web.archive.org/web/20240305121538/https://calais.bordermonitoring.eu/2024/01/14/mindestens-fuenf-tote-bei-havarie-nahe-wimereux/, https://web.archive.org/web/20240305121538/https://calais.bordermonitoring.eu/2024/01/14/mindestens-fuenf-tote-bei-havarie-nahe-wimereux/, https://perma.cc/YP2B-3644, https://perma.cc/7WLE-EGZR",Uncategorized,5
2024.MMP0013,2024.MMP0013,Caribbean,"Sat, 01/13/2024 - 12:00",2024,January,1,0,,,1,,Caribbean,Drowning,Haiti,"Dajabón River near comunidad La Vigía, Dominican Republic","Teleuniverso, N Digital Multimedia","19.579532, -71.7326","Haiti to Dominican Republic","https://web.archive.org/web/20240115021435/https://teleuniversotv.com/encuentran-el-cuerpo-de-un-inmigrante-en-rio-masacre-de-dajabon/, https://web.archive.org/save/https://n.com.do/2024/01/13/encuentran-el-cuerpo-de-un-inmigrante-en-rio-masacre-de-dajabon/",Caribbean,3
